X_type,subject,story,mean_cc
MaskLM,subj2,whyimustspeakoutaboutclimatechange,0.008900925271772844
MaskLM,subj2,wildwomenanddancingqueens,0.017617996082559713
MaskLM,subj3,adollshouse,0.023977833834067742
MaskLM,subj3,adventuresinsayingyes,0.005338177556394158
MaskLM,subj3,afatherscover,-0.018520520026878647
MaskLM,subj3,afearstrippedbare,0.011198234552393544
MaskLM,subj3,againstthewind,0.03462226670421454
MaskLM,subj3,alternateithicatom,0.027882106109191826
MaskLM,subj3,avatar,0.014708493712265258
MaskLM,subj3,backsideofthestorm,0.009709417545762246
MaskLM,subj3,becomingindian,0.03369595109678497
MaskLM,subj3,beneaththemushroomcloud,0.03631459766528304
MaskLM,subj3,birthofanation,0.05020448891227742
MaskLM,subj3,bluehope,0.07462331873914273
MaskLM,subj3,breakingupintheageofgoogle,0.017476500122366054
MaskLM,subj3,buck,0.03869898919478047
MaskLM,subj3,canadageeseandddp,0.008687392832920486
MaskLM,subj3,canplanetearthfeedtenbillionpeoplepart1,0.022257754598386612
MaskLM,subj3,canplanetearthfeedtenbillionpeoplepart2,0.02634392639381532
MaskLM,subj3,canplanetearthfeedtenbillionpeoplepart3,0.016865498034029647
MaskLM,subj3,catfishingstrangerstofindmyself,0.01400088077766904
MaskLM,subj3,cautioneating,0.02965744451402336
MaskLM,subj3,christmas1940,0.020304567734585638
MaskLM,subj3,cocoonoflove,0.011584054721838282
MaskLM,subj3,comingofageondeathrow,0.02105310341695839
MaskLM,subj3,escapingfromadirediagnosis,0.006621537162212496
MaskLM,subj3,exorcism,0.04107371675205007
MaskLM,subj3,eyespy,0.027519229075726195
MaskLM,subj3,findingmyownrescuer,0.026099743171117747
MaskLM,subj3,firetestforlove,0.01485903738437395
MaskLM,subj3,food,0.05671433891190811
MaskLM,subj3,forgettingfear,0.01059015135018292
MaskLM,subj3,fromboyhoodtofatherhood,0.037599071258202166
MaskLM,subj3,gangstersandcookies,0.06329462061346768
MaskLM,subj3,goingthelibertyway,0.016336294027644367
MaskLM,subj3,goldiethegoldfish,0.007605052188856641
MaskLM,subj3,golfclubbing,0.03400498110486258
MaskLM,subj3,googlingstrangersandkentuckybluegrass,0.030190985879748264
MaskLM,subj3,gpsformylostidentity,0.014306425951139649
MaskLM,subj3,hangtime,0.022055618568927095
MaskLM,subj3,haveyoumethimyet,0.034395774620577274
MaskLM,subj3,howtodraw,0.036135420607992345
MaskLM,subj3,ifthishaircouldtalk,0.023991455778782807
MaskLM,subj3,igrewupinthewestborobaptistchurch,0.023401879197143628
MaskLM,subj3,inamoment,0.02565160570908821
MaskLM,subj3,indianapolis,0.02331938660812665
MaskLM,subj3,itsabox,0.02067725565946571
MaskLM,subj3,jugglingandjesus,0.03650687047824102
MaskLM,subj3,kiksuya,0.019514054258382568
MaskLM,subj3,lawsthatchokecreativity,0.04265049365048816
MaskLM,subj3,learninghumanityfromdogs,0.012812515009965482
MaskLM,subj3,leavingbaghdad,0.02130594161071455
MaskLM,subj3,legacy,0.02137979748674687
MaskLM,subj3,life,0.011515341441376102
MaskLM,subj3,lifeanddeathontheoregontrail,0.02560116790598698
MaskLM,subj3,lifereimagined,0.03631241688492715
MaskLM,subj3,listo,0.04761010258081472
MaskLM,subj3,marryamanwholoveshismother,0.02017103268827711
MaskLM,subj3,mayorofthefreaks,0.02894831382870984
MaskLM,subj3,metsmagic,0.04435605694806885
MaskLM,subj3,mybackseatviewofagreatromance,0.03753322921316384
MaskLM,subj3,myfathershands,0.019726878496295293
MaskLM,subj3,naked,0.02573978215505995
MaskLM,subj3,notontheusualtour,0.03944038183155533
MaskLM,subj3,odetostepfather,0.018023093040953564
MaskLM,subj3,onapproachtopluto,0.037542563089351895
MaskLM,subj3,penpal,0.0436317146863623
MaskLM,subj3,quietfire,0.009628110398962475
MaskLM,subj3,reachingoutbetweenthebars,0.009827304614335893
MaskLM,subj3,seedpotatoesofleningrad,0.01432329681074162
MaskLM,subj3,shoppinginchina,-0.004732011115596373
MaskLM,subj3,singlewomanseekingmanwich,0.014075517936596794
MaskLM,subj3,sloth,0.025491846939440687
MaskLM,subj3,souls,0.02411521728979767
MaskLM,subj3,stagefright,0.03758955976540471
MaskLM,subj3,stumblinginthedark,0.015357015259177303
MaskLM,subj3,superheroesjustforeachother,0.012227484046673901
MaskLM,subj3,sweetaspie,0.035507463881771874
MaskLM,subj3,swimmingwithastronauts,0.03018501793292819
MaskLM,subj3,tetris,0.019596947097198267
MaskLM,subj3,thatthingonmyarm,0.025453717292026598
MaskLM,subj3,theadvancedbeginner,0.015292006701812959
MaskLM,subj3,theclosetthatateeverything,0.025792694025881236
MaskLM,subj3,thecurse,0.02140018798347034
MaskLM,subj3,thefreedomridersandme,0.008987626921720981
MaskLM,subj3,theinterview,0.029144814566215968
MaskLM,subj3,thepostmanalwayscalls,0.02300267483225108
MaskLM,subj3,thesecrettomarriage,0.020644823657759395
MaskLM,subj3,theshower,0.010616661814291812
MaskLM,subj3,thesurprisingthingilearnedsailingsoloaroundtheworld,0.05858850250542294
MaskLM,subj3,thetiniestbouquet,0.005562613233122331
MaskLM,subj3,thetriangleshirtwaistconnection,0.05116847837479158
MaskLM,subj3,threemonths,0.011748827724098137
MaskLM,subj3,thumbsup,0.05564377532526542
MaskLM,subj3,tildeath,0.04487600532931388
MaskLM,subj3,treasureisland,0.042697317527957836
MaskLM,subj3,undertheinfluence,0.023341437723433743
MaskLM,subj3,vixenandtheussr,-0.0003730469901096347
MaskLM,subj3,waitingtogo,0.05895666603534371
MaskLM,subj3,whenmothersbullyback,0.06238645959840294
MaskLM,subj3,wheretheressmoke,0.05611127756437154
MaskLM,subj3,whyimustspeakoutaboutclimatechange,-0.005747117804370862
MaskLM,subj3,wildwomenanddancingqueens,-0.029925784842132028
